type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
W,49.013769700,8.305981100,108.8,,,,"Rheinhafen-Dampfkraftwerk Karlsruhe, Fettweisstraße, Karlsruhe",
W,49.013949400,8.311250100,104.8,,,,"EnBW InnovationsCampus, Rheinhafen-Dampfkraftwerk Karlsruhe, Fettweisstraße, Karlsruhe",

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.014040000,8.306120000,108.0,,0.000,,"Rheinhafen-Dampfkraftwerk Karlsruhe, Fettweisstraße, Karlsruhe - EnBW InnovationsCampus, Rheinhafen-Dampfkraftwerk Karlsruhe, Fettweisstraße, Karlsruhe","9.2 km, 0:16"
T,49.014020000,8.307760000,113.1,4.3,0.120,119.99,,
T,49.014020000,8.308120000,111.8,-4.7,0.146,26.33,,
T,49.014000000,8.308250000,111.5,-3.2,0.156,9.77,,
T,49.013980000,8.308370000,111.1,-4.6,0.165,9.06,,
T,49.013810000,8.308940000,107.4,-8.0,0.211,45.78,,
T,49.013800000,8.309030000,107.4,-1.1,0.218,6.68,,
T,49.013780000,8.309110000,107.2,-2.3,0.224,6.26,,
T,49.013780000,8.309580000,107.5,0.9,0.258,34.38,,
T,49.013780000,8.309580000,107.5,,0.258,0.00,,
T,49.013780000,8.309750000,107.8,2.0,0.271,12.44,,
T,49.013770000,8.309850000,107.5,-4.2,0.278,7.40,,
T,49.013770000,8.309940000,107.3,-2.8,0.285,6.58,,
T,49.013750000,8.310160000,106.7,-3.4,0.301,16.25,,
T,49.013720000,8.311360000,104.4,-2.6,0.389,87.85,,
T,49.013680000,8.311690000,105.0,2.5,0.413,24.55,,
T,49.013660000,8.312280000,106.0,2.4,0.457,43.22,,
T,49.013610000,8.312650000,106.0,-0.1,0.484,27.63,,
T,49.013560000,8.312950000,105.8,-0.8,0.507,22.64,,
T,49.013360000,8.313400000,105.0,-2.1,0.547,39.73,,
T,49.012640000,8.315000000,105.0,0.0,0.688,141.81,,
T,49.011480000,8.317540000,106.6,0.7,0.915,226.20,,
T,49.011370000,8.317760000,106.1,-2.8,0.935,20.22,,
T,49.010810000,8.319000000,104.5,-1.4,1.045,110.03,,
T,49.010590000,8.319480000,104.9,0.8,1.088,42.80,,
T,49.008660000,8.323810000,104.2,-0.2,1.470,382.64,,
