type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.279330000,8.850950000,514.7,-1.4,0.007,6.67,,
T,48.279180000,8.850950000,514.4,-1.4,0.023,16.68,,
T,48.278860000,8.850970000,514.6,0.4,0.059,35.61,,
T,48.278690000,8.850960000,515.2,3.0,0.078,18.92,,
T,48.278570000,8.850970000,515.4,1.8,0.091,13.36,,
T,48.278400000,8.850910000,515.1,-1.8,0.111,19.42,,
T,48.277900000,8.850980000,515.0,-0.1,0.167,55.84,,
T,48.277770000,8.851060000,515.0,0.0,0.182,15.63,,
T,48.277620000,8.851070000,515.0,0.0,0.199,16.70,,
T,48.276420000,8.851270000,515.0,0.0,0.333,134.26,,
T,48.276320000,8.851290000,515.0,-0.4,0.344,11.22,,
T,48.276240000,8.851270000,515.0,0.0,0.353,9.02,,
T,48.276060000,8.851300000,514.9,-0.3,0.373,20.14,,
T,48.276060000,8.851300000,514.9,,0.373,0.00,,
T,48.276050000,8.851270000,514.9,-1.4,0.376,2.49,,
T,48.276040000,8.851260000,514.9,-1.9,0.377,1.34,,
T,48.276020000,8.851250000,514.8,-1.9,0.380,2.34,,
T,48.276000000,8.851240000,514.8,-2.1,0.382,2.34,,
T,48.275980000,8.851240000,514.7,-1.8,0.384,2.22,,
T,48.275960000,8.851250000,514.7,-0.8,0.387,2.34,,
T,48.275940000,8.851260000,514.7,-0.6,0.389,2.34,,
T,48.275930000,8.851270000,514.7,0.5,0.390,1.34,,
T,48.275910000,8.851300000,514.8,1.5,0.393,3.15,,
T,48.275900000,8.851330000,514.8,2.9,0.396,2.49,,
T,48.275900000,8.851370000,514.9,3.7,0.399,2.97,,
T,48.275910000,8.851420000,515.1,3.4,0.403,3.87,,
T,48.275910000,8.851430000,515.1,3.5,0.403,0.74,,
T,48.275920000,8.851450000,515.2,2.4,0.405,1.85,,
T,48.275930000,8.851470000,515.2,2.1,0.407,1.85,,
T,48.275940000,8.851480000,515.2,0.9,0.408,1.34,,
T,48.275950000,8.851490000,515.2,0.7,0.410,1.34,,
T,48.275980000,8.852070000,515.9,1.7,0.453,43.18,,
T,48.276010000,8.852190000,515.7,-2.3,0.463,9.51,,
T,48.276020000,8.852360000,515.2,-4.5,0.475,12.67,,
T,48.276050000,8.852660000,512.5,-11.7,0.498,22.52,,
T,48.276030000,8.852970000,509.2,-14.4,0.521,23.12,,
T,48.276010000,8.853110000,507.9,-11.9,0.531,10.63,,
T,48.276000000,8.853220000,506.9,-11.9,0.540,8.24,,
T,48.275990000,8.853250000,506.7,-8.4,0.542,2.49,,
T,48.275980000,8.853310000,506.2,-11.8,0.547,4.59,,
T,48.275960000,8.853370000,506.0,-3.5,0.552,4.98,,
T,48.275920000,8.853540000,505.9,-1.1,0.565,13.38,,
T,48.275920000,8.853540000,505.9,,0.565,0.00,,
T,48.275880000,8.853590000,505.9,0.5,0.571,5.79,,
T,48.275840000,8.853640000,506.0,1.5,0.577,5.79,,
T,48.275900000,8.853710000,505.9,-0.6,0.585,8.46,,
T,48.275970000,8.853850000,506.4,3.3,0.598,12.98,,
T,48.276250000,8.854150000,508.0,4.2,0.636,38.28,,
T,48.276320000,8.854230000,508.6,6.0,0.646,9.79,,
T,48.276370000,8.854430000,508.9,2.3,0.662,15.85,,
T,48.276580000,8.854870000,508.6,-0.7,0.702,40.15,,
T,48.276830000,8.855440000,507.4,-2.4,0.753,50.62,,
T,48.276890000,8.855570000,507.0,-3.5,0.765,11.73,,
T,48.276950000,8.855690000,507.0,-0.2,0.776,11.13,,
T,48.277060000,8.855910000,507.1,0.7,0.796,20.40,,
T,48.277140000,8.856040000,507.8,4.9,0.809,13.12,,
T,48.277240000,8.856170000,508.2,2.9,0.824,14.72,,
T,48.277410000,8.856390000,509.0,3.2,0.849,24.98,,
T,48.278490000,8.857520000,508.0,-0.7,0.995,146.48,,
T,48.278610000,8.857680000,508.0,-0.2,1.013,17.86,,
T,48.278770000,8.857850000,507.7,-1.4,1.035,21.81,,
T,48.278940000,8.858010000,507.7,-0.0,1.057,22.32,,
T,48.279050000,8.858110000,507.5,-1.0,1.072,14.31,,
T,48.279290000,8.858250000,508.1,2.1,1.100,28.64,,
T,48.279360000,8.858300000,508.6,5.0,1.109,8.62,,
T,48.279530000,8.858390000,508.8,1.2,1.129,20.05,,
T,48.279820000,8.858550000,508.9,0.3,1.163,34.36,,
T,48.279990000,8.858650000,508.2,-3.6,1.184,20.31,,
T,48.280300000,8.858810000,506.9,-3.5,1.220,36.46,,
T,48.280440000,8.858880000,506.4,-3.1,1.237,16.41,,
T,48.280510000,8.858920000,506.2,-2.8,1.245,8.33,,
T,48.280570000,8.858960000,505.9,-3.2,1.252,7.30,,
T,48.280910000,8.859150000,505.3,-1.7,1.293,40.35,,
T,48.280950000,8.859170000,505.4,3.1,1.297,4.69,,
T,48.281190000,8.859420000,506.3,2.6,1.330,32.50,,
T,48.281280000,8.859580000,507.2,6.1,1.345,15.53,,
T,48.281310000,8.859640000,507.7,9.4,1.351,5.56,,
T,48.281330000,8.859720000,508.4,9.9,1.357,6.34,,
T,48.281350000,8.859820000,509.0,8.1,1.365,7.75,,
T,48.281380000,8.859950000,509.8,7.5,1.375,10.21,,
T,48.281380000,8.860020000,509.9,3.6,1.380,5.20,,
T,48.281390000,8.860070000,510.0,1.4,1.384,3.87,,
T,48.281390000,8.860100000,510.0,0.0,1.386,2.23,,
T,48.281390000,8.860150000,510.0,0.0,1.390,3.71,,
T,48.281390000,8.860210000,510.0,0.0,1.395,4.45,,
T,48.281390000,8.860270000,510.0,0.0,1.399,4.45,,
T,48.281390000,8.860330000,509.8,-4.2,1.404,4.45,,
T,48.281350000,8.860440000,509.4,-4.8,1.413,9.30,,
T,48.281300000,8.860990000,510.1,1.8,1.454,41.20,,
T,48.281300000,8.860990000,510.1,,1.454,0.00,,
T,48.280950000,8.860880000,508.9,-3.0,1.494,39.77,,
T,48.280900000,8.860870000,509.0,1.9,1.499,5.61,,
T,48.280780000,8.860850000,509.3,2.0,1.513,13.43,,
T,48.280470000,8.860820000,510.3,3.0,1.547,34.54,,
T,48.280430000,8.860810000,510.5,3.7,1.552,4.51,,
T,48.280340000,8.860840000,510.8,3.0,1.562,10.25,,
T,48.280110000,8.860790000,512.8,7.7,1.588,25.84,,
