type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
W,48.279446600,8.850915800,514.6,,,,"48.2794466,8.8509158","Bahnhof/Busbahnhof, Balingen, 72336 Balingen, Deutschland"
W,48.280216000,8.851066000,512.0,,,,"48.280216,8.851066","Bahnhofstraße 56, 72336 Balingen, Deutschland"

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.279450000,8.850950000,514.8,,0.000,,Bahnhof/Busbahnhof - Bahnhofstraße 56,"4.8 km, 0:12"
T,48.279330000,8.850950000,514.7,-1.1,0.013,13.34,,
T,48.279180000,8.850950000,514.4,-1.4,0.030,16.68,,
T,48.278860000,8.850970000,514.6,0.4,0.066,35.61,,
T,48.278690000,8.850960000,515.2,3.0,0.085,18.92,,
T,48.278570000,8.850970000,515.4,1.8,0.098,13.36,,
T,48.278400000,8.850910000,515.1,-1.8,0.117,19.42,,
T,48.277900000,8.850980000,515.0,-0.1,0.173,55.84,,
T,48.277770000,8.851060000,515.0,0.0,0.189,15.63,,
T,48.277620000,8.851070000,515.0,0.0,0.206,16.70,,
T,48.276420000,8.851270000,515.0,0.0,0.340,134.26,,
T,48.276320000,8.851290000,515.0,-0.4,0.351,11.22,,
T,48.276240000,8.851270000,515.0,0.0,0.360,9.02,,
T,48.276060000,8.851300000,514.9,-0.3,0.380,20.14,,
T,48.276060000,8.851300000,514.9,,0.380,0.00,,
T,48.276050000,8.851270000,514.9,-1.4,0.383,2.49,,
T,48.276040000,8.851260000,514.9,-1.9,0.384,1.34,,
T,48.276020000,8.851250000,514.8,-1.9,0.386,2.34,,
T,48.276000000,8.851240000,514.8,-2.1,0.389,2.34,,
T,48.275980000,8.851240000,514.7,-1.8,0.391,2.22,,
T,48.275960000,8.851250000,514.7,-0.8,0.393,2.34,,
T,48.275940000,8.851260000,514.7,-0.6,0.396,2.34,,
T,48.275930000,8.851270000,514.7,0.5,0.397,1.34,,
T,48.275910000,8.851300000,514.8,1.5,0.400,3.15,,
T,48.275900000,8.851330000,514.8,2.9,0.403,2.49,,
T,48.275900000,8.851370000,514.9,3.7,0.406,2.97,,
T,48.275910000,8.851420000,515.1,3.4,0.409,3.87,,
T,48.275910000,8.851430000,515.1,3.5,0.410,0.74,,
T,48.275920000,8.851450000,515.2,2.4,0.412,1.85,,
T,48.275930000,8.851470000,515.2,2.1,0.414,1.85,,
T,48.275940000,8.851480000,515.2,0.9,0.415,1.34,,
T,48.275950000,8.851490000,515.2,0.7,0.417,1.34,,
T,48.275980000,8.852070000,515.9,1.7,0.460,43.18,,
T,48.276010000,8.852190000,515.7,-2.3,0.469,9.51,,
T,48.276020000,8.852360000,515.2,-4.5,0.482,12.67,,
T,48.276050000,8.852660000,512.5,-11.7,0.504,22.52,,
T,48.276030000,8.852970000,509.2,-14.4,0.527,23.12,,
T,48.276010000,8.853110000,507.9,-11.9,0.538,10.63,,
T,48.276000000,8.853220000,506.9,-11.9,0.546,8.24,,
T,48.275990000,8.853250000,506.7,-8.4,0.549,2.49,,
T,48.275980000,8.853310000,506.2,-11.8,0.553,4.59,,
T,48.275960000,8.853370000,506.0,-3.5,0.558,4.98,,
T,48.275920000,8.853540000,505.9,-1.1,0.572,13.38,,
T,48.275920000,8.853540000,505.9,,0.572,0.00,,
T,48.275880000,8.853590000,505.9,0.5,0.578,5.79,,
T,48.275840000,8.853640000,506.0,1.5,0.583,5.79,,
T,48.275700000,8.853870000,506.5,2.3,0.606,23.10,,
T,48.275630000,8.853990000,507.1,4.9,0.618,11.83,,
T,48.275380000,8.854320000,509.0,5.1,0.655,37.05,,
T,48.275320000,8.854390000,509.5,6.5,0.664,8.46,,
T,48.275080000,8.854750000,511.8,6.0,0.702,37.77,,
T,48.275040000,8.854820000,512.2,5.8,0.708,6.84,,
T,48.274980000,8.854890000,512.5,3.5,0.717,8.46,,
T,48.274270000,8.855770000,514.9,2.3,0.819,102.47,,
T,48.274220000,8.855830000,515.0,1.9,0.826,7.12,,
T,48.274020000,8.856150000,515.7,2.3,0.859,32.54,,
T,48.274020000,8.856150000,515.7,,0.859,0.00,,
T,48.273700000,8.856100000,517.3,4.5,0.895,35.78,,
T,48.273590000,8.856100000,518.0,5.3,0.907,12.23,,
T,48.273420000,8.856040000,518.0,0.0,0.926,19.42,,
T,48.273320000,8.856010000,518.0,-0.3,0.938,11.34,,
T,48.273120000,8.855960000,517.6,-1.4,0.960,22.55,,
T,48.272810000,8.855870000,517.1,-1.6,0.995,35.11,,
T,48.272700000,8.855820000,517.2,1.0,1.008,12.78,,
T,48.272640000,8.855730000,517.1,-1.1,1.018,9.44,,
T,48.272390000,8.855590000,517.5,1.2,1.047,29.68,,
T,48.272340000,8.855560000,517.6,1.9,1.053,5.99,,
T,48.272240000,8.855500000,517.9,2.8,1.065,11.98,,
T,48.272190000,8.855470000,518.0,1.9,1.071,5.99,,
T,48.272160000,8.855440000,518.1,1.4,1.075,4.01,,
T,48.272050000,8.855320000,518.5,2.9,1.090,15.13,,
T,48.271770000,8.855000000,519.0,1.2,1.130,39.16,,
T,48.271770000,8.855000000,519.0,,1.130,0.00,,
T,48.271250000,8.854520000,519.0,0.0,1.198,67.92,,
T,48.271170000,8.854440000,519.0,-0.2,1.208,10.70,,
T,48.271120000,8.854400000,518.8,-2.3,1.215,6.30,,
T,48.270910000,8.854220000,518.1,-2.9,1.241,26.90,,
T,48.270170000,8.853680000,516.3,-1.9,1.333,91.53,,
T,48.270060000,8.853600000,515.9,-3.3,1.347,13.60,,
T,48.269900000,8.853430000,513.9,-9.1,1.368,21.81,,
T,48.269790000,8.853220000,512.9,-5.1,1.388,19.82,,
T,48.269700000,8.852940000,513.8,3.9,1.411,23.07,,
T,48.269650000,8.852480000,516.5,7.9,1.446,34.60,,
T,48.269620000,8.852020000,517.6,3.2,1.480,34.31,,
T,48.269620000,8.851940000,517.9,4.7,1.486,5.94,,
T,48.269620000,8.851840000,518.0,1.8,1.494,7.42,,
T,48.269620000,8.851820000,518.1,1.8,1.495,1.48,,
T,48.269630000,8.851590000,518.4,2.1,1.512,17.11,,
T,48.269630000,8.851360000,518.8,2.0,1.529,17.07,,
T,48.269630000,8.851310000,519.0,4.8,1.533,3.71,,
T,48.269630000,8.851040000,519.7,3.6,1.553,20.04,,
T,48.269630000,8.851040000,519.7,,1.553,0.00,,
T,48.269570000,8.851050000,519.5,-3.2,1.560,6.71,,
T,48.268970000,8.851180000,518.0,-2.2,1.627,67.41,,
T,48.268880000,8.851200000,518.0,0.3,1.637,10.12,,
T,48.268160000,8.851360000,522.6,5.6,1.718,80.94,,
T,48.267780000,8.851420000,521.9,-1.6,1.761,42.49,,
T,48.267690000,8.851440000,521.8,-0.8,1.771,10.12,,
T,48.267540000,8.851450000,521.8,-0.2,1.787,16.70,,
T,48.267410000,8.851470000,521.8,0.2,1.802,14.53,,
T,48.267310000,8.851480000,521.9,0.8,1.813,11.14,,
